model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
AvgKNN,0.17546423615037654,0.09770303042060612,0.08661221131156754,0.22687979356726384,0.1090195769975117,0.14257013966952878,0.12389135629181958,0.03762662807525326,0.03979739507959479,0.03289162419334495,0.09309592038764224,0.18809823202505113,0.025145685492869194,0.06043720441406229,0.06279916664745029,0.11687001460335596,0.33434629212439104,0.33855678126226807,0.027919542674735096,0.05531997027682553,0.09272082293431524,0.14354295667148328,0.1909760272929857,0.08666674434735802,0.05604157399932114,0.49738322937432783,0.049123325347626506,0.26009736499190755,0.2336811587443835,0.2885468100279852,0.252161556242662,0.5251166916227669,0.24286557294443692,0.04524674020147539,0.042919228320995706,0.9449526253680284,0.06138596291632546,0.40520936017624765,0.1578286492006319,0.23493498092735793,0.1467747171895039,0.026170337827817775,0.28149879661878574,0.2952589985474918,0.08996229885095015,0.09350531446645774,0.09249644298587337,0.14711147874490038,0.11595418129792273,0.15499913591110176,0.32970005160106897,0.214008513302201,0.23247164500563483,0.43233765355847187,0.09854815930703324,0.17754396822525298,0.28126552698422025,0.5240293843903736,0.28417959030752227,0.20678868687879748,0.7602678571428572,0.4111403709101724,0.25557443986483425,0.5109971111158957,0.29234984683758286,0.4401642918990362,0.4917266361618039,0.26782462102488186,0.07370388651135332,0.27786482435197246,0.06769297020202397,0.36304278621749786,0.23244423091105318,0.6416510058635433,0.07707267252091343,0.21846207691326722,0.3468058685625664,0.2579143275871624,0.303966720743746,0.0863620624916913,0.1764729620661824,0.28748620984263284,0.11609543250913629,0.040950797872340426,0.2624812904188631,0.95,0.33730158730158727,0.2977994227994228,0.40208333333333335,0.3533566058002148,0.2334678590566343
LaKNN,0.16936595402456575,0.09236750916738172,0.07683325505046494,0.0918104841316672,0.15395296430977104,0.12245957477856048,0.1299667483847095,0.03762662807525326,0.03979739507959479,0.03464033898194075,0.07138135949360233,0.2805297478249985,0.028444879798612304,0.06753133921558356,0.0573037924943011,0.11105969420498873,0.3230988786792946,0.3308683071932518,0.028416485988987328,0.045069706592823375,0.09327492159103773,0.18621359857808653,0.20645706392786844,0.09573123422589788,0.060708310648747016,0.43648066866691104,0.03362600581817403,0.26483815619175954,0.2321424896170809,0.2962704305275937,0.2530008981173393,0.5219509543797538,0.23556746163588593,0.043541851472553454,0.03280370645979576,0.9499112513109291,0.05293765330854022,0.4207925934597025,0.17390037808002437,0.23378145501992612,0.1497904370096209,0.07530377024295468,0.37055515738395517,0.33411436661036165,0.09193252698881794,0.09491713957127504,0.09396322952429623,0.13414950158934977,0.11287565275633608,0.15874611704977842,0.32662959700148053,0.2095344102222011,0.23774509120788362,0.4372107783836763,0.17636942675159234,0.18164315173355622,0.26541623967023653,0.9166666666666666,0.293602120064579,0.21727345269136403,0.7602678571428572,0.4622000884353994,0.24909520818128827,0.5105215149874658,0.2957650193863429,0.497834825622604,0.523724749812397,0.2592980083193964,0.06912836347729572,0.4873733403887681,0.06512242185307748,0.3526730623792683,0.2316031120219966,0.6654216321617887,0.07488400960757832,0.20042118337067263,0.34908693034051724,0.2786056071918286,0.26537087859307124,0.08241945406263469,0.1747935580851726,0.4488755692759365,0.11164125135192915,0.04632673884700414,0.2591717507780906,0.9166666666666666,0.38333333333333336,0.3168900991481637,0.45,0.3054669140383426,0.2454319789832092
MedKNN,0.17568042655756771,0.10203627506811139,0.0819385709173726,0.22478830919071674,0.10496683776132507,0.14410157929221004,0.11932608743040608,0.03762662807525326,0.03979739507959479,0.03190327781177157,0.09215079962187435,0.16034643070156557,0.023839121512548106,0.06034424178828239,0.06555663945446535,0.11845119857089244,0.33638276512095827,0.31741151010334195,0.030418294012961297,0.0592111447757787,0.08358662136210708,0.13218482436979467,0.1858444695310917,0.08476170341344125,0.05380318020816789,0.5010038356332446,0.05133796939054962,0.25742243412107874,0.23405224071643518,0.28451331364579724,0.24851018502821837,0.5230863724487376,0.245004120307791,0.04560705374479677,0.04216744989729997,0.9328213018911773,0.06196172333771906,0.41675202387066795,0.14337336196977346,0.22873450093583586,0.14635357276609795,0.019089619723495627,0.25406254749812796,0.26889840800459236,0.08541681498710957,0.08538266720616225,0.09628218844674749,0.15913217969542984,0.11644069915225205,0.1553237397206318,0.33345811806539566,0.21660552899542448,0.23317619269087167,0.4279140968962523,0.08366342469790747,0.18434041443644805,0.28719302270463126,0.4222359100708346,0.2936992087904177,0.2059845875043243,0.8135912698412698,0.39062573555963676,0.26147372287422094,0.5147581584436793,0.27913739049850783,0.4120141981416936,0.4438679157028112,0.2707925673584694,0.08485473475621258,0.20246031746031745,0.0732722385186729,0.36769969979264566,0.23928237800225283,0.5662181694767479,0.07851426717361867,0.23429230693447073,0.3399431584938051,0.22870574622099601,0.295633069237453,0.08824285933850261,0.17222215201870222,0.2233084902542688,0.12249819742877266,0.04216887980932925,0.2686167733576824,0.9,0.24444444444444446,0.27642793714222286,0.23951612903225805,0.3477106227106227,0.2242194743416463
PCA,0.09786882338385557,0.09190949759994231,0.9989506103641822,1.0000000000000002,0.05028605733962135,0.04785599486776198,0.9365816569390628,0.06859844704818255,0.040099414707971785,0.015504820541037818,0.06809665865407,0.049289220455680904,0.05011736417869993,0.12381414089177556,0.06875401726697243,0.11404343672052225,0.2737991117559807,0.2461694001161467,0.012620266466308419,0.028138176908317977,0.16745030025840502,0.30667864062349565,0.3218396085639873,0.556744252813399,0.0618034212107435,0.3728114111621954,0.032361112655303975,0.2884029962443706,0.2725375883620365,0.28934929504917367,0.23728182954144164,0.4700873607341217,0.11625812384103351,0.05629429479363443,0.04620577132432524,0.9577312839790648,0.04960225722348215,0.41437737439592215,0.1579338708238155,0.2882522824153087,0.18015068877089696,1.0,0.2988838696713976,0.2990129186407545,0.1248534358476828,0.3059922703865606,0.6180164541651229,0.23844792928238945,0.1686083612019001,0.1471108010991491,0.24212416320316033,0.4179972352559583,0.437001747133207,0.3170104592785429,0.30446688446688447,0.23164273674973412,0.28443795297519175,0.18571001367054,0.408909063550738,0.42653268188405463,0.44086892957030255,0.39604659494937766,0.31563625877863555,0.46678413429362814,0.36555522604257756,0.4604822693554905,0.49881760882782195,0.41782197014836303,0.04935599879598963,0.38258385276032336,0.06235222007961017,0.3286721332662491,0.247151212857073,0.6465401101937871,0.06753091219982246,0.2266686489325691,0.29794706131031445,0.3580046842808292,0.3014130822050427,0.07190443669002941,0.09755265827578874,0.5538658677615392,0.09972834923633578,0.06454545454545454,0.6757854725104194,1.0,0.38333333333333336,0.2733658687606056,0.10557359307359308,0.2058439658505491,0.2927237974260075
COF,0.0666800560945911,0.12123825632533027,0.030756051694075814,0.15566005310695058,0.04863626572874187,0.0667715157342184,0.09427695290691791,0.049483599859053054,0.038798515364026134,0.02868816921837592,0.0702421185699477,0.17131476951411248,0.020421029226444568,0.035434450336149226,0.046798223858622784,0.1147210808841358,0.32627519889472845,0.1685591890284763,0.03950013057779433,0.027590564935863177,0.06505577526231171,0.09509397065323061,0.11264798132460443,0.14875209389127636,0.11577541043713938,0.2653451887847466,0.019008374585237152,0.2509668574441516,0.25328614137037514,0.2717406696134408,0.24202192312206625,0.40147739278722416,0.2615128764607678,0.047470655320021565,0.04863208015674644,0.29309979532162106,0.03073945749471497,0.19920026860365347,0.1214181661128557,0.1399488306753842,0.09425279165271817,0.04780629389542883,0.07359182113100551,0.07270708865020944,0.08715299384533759,0.11124142200585205,0.04914721479049684,0.053249469721053926,0.09688964917008196,0.1384955887422167,0.328876003049035,0.1196153454613735,0.12107783337847178,0.38490585254952936,0.181005291005291,0.07808905757318899,0.13392791353883637,0.5719437482595378,0.17331851205811052,0.10570754502857183,0.31301230320676915,0.3108907641594453,0.13321356089312264,0.6145276666705248,0.15854631066297553,0.36163168815570157,0.28735706271839895,0.25043011501005663,0.06863649912968445,0.22631660637982182,0.0776067601306846,0.3643424769225173,0.27451099227498693,0.4689433312799073,0.09313487468690115,0.10380605228693415,0.15973891370471008,0.15334870150654062,0.16453015995632086,0.0979663995981153,0.14950818604953942,0.08856555517155817,0.13863980374390247,0.04178872576049995,0.44847290888896313,0.3041666666666667,0.36507936507936506,0.3525054361920721,0.13722943722943723,0.3382748938386154,0.16860848616379132
BRM,0.013874665927609596,0.21854256265738858,0.021074151826766942,0.01158263419371306,0.007520752856725961,0.007739738855552723,0.048396411311810876,0.04201206305337533,0.041601211639297794,0.01562227754262054,0.023007837069374266,0.009779725433342712,0.032859058159558474,0.020430995177109567,0.024482639259998024,0.09299918512227849,0.25837595561810583,0.009376561617324964,0.008194654728723686,0.02171957697038081,0.02814821476649047,0.0788550660502328,0.07358666645276515,0.09138440543783766,0.03039806162164452,0.012249842776040758,0.018818063960595783,0.2039899380681729,0.4972318715196584,0.2109334912152847,0.24137781123026106,0.2537911970988795,0.03459729520817478,0.046542068846777626,0.009835633061856534,0.20294661474507836,0.021981083548969164,0.013589387987240954,0.07401024625728743,0.062851880620166,0.07862793274608235,0.39325012103974544,0.024729037979731878,0.040527364104739255,0.06540350881330531,0.07756813897545684,0.039514440684930006,0.040967681717522325,0.10565943199986268,0.14725475676738947,0.17635509371109254,0.05332134518284896,0.0480489109285323,0.19777002145213168,0.01522704460563238,0.046511168990282736,0.06062503976378937,0.025404174294468267,0.0634151508248972,0.053948792296344,0.024893121469609404,0.05804627307115926,0.06557467477064753,0.8328306369817876,0.061484999797428566,0.09960550731518845,0.09499459113946732,0.0934767900132753,0.03271852535586964,0.03478782117162273,0.09010083046398952,0.41164979591745987,0.5866140734329852,0.14212473369406967,0.08737456660763175,0.06481615039809932,0.058850523323402806,0.06643184841936448,0.0626687633689602,0.09512154545318822,0.031495337917093844,0.04830742757681706,0.09436000887696414,0.037153312498112746,0.639025617825635,0.021663933210543378,0.0204460845569093,0.05749961842184553,0.03387141577480438,0.06496290775929574,0.10003768992173874
OCSVM,0.019599135031870277,0.3255763008321569,0.01775586343579441,0.00629535991492125,0.10759552026635598,0.010786674507602283,0.03538681144782184,0.0691081869351471,0.04333773851965943,0.026615566415543798,0.02506677103562184,0.17502308403745742,0.014608653647845518,0.016206418882781883,0.02107193908272603,0.08996417970614808,0.3101152808686469,0.009625061422437766,0.25981995798491253,0.012447389317452,0.025650551541027578,0.05689745398249032,0.062412012298873124,0.04917901344246706,0.023240551967008884,0.013686275698758521,0.020729782202816065,0.20904410720642796,0.30154786136687994,0.23838429806852102,0.2685996139934873,0.30022251396142374,0.04138252957322192,0.03772148833639844,0.0099477851372296,0.21893677295982192,0.02187655172276283,0.013918147371896842,0.06642834539935605,0.056279845958969434,0.07987509103633361,0.016386555152729142,0.041074002406721016,0.09865005466152782,0.0492837151421197,0.13241430189825346,0.03617250051087554,0.03931741288708204,0.08453193067001785,0.18787481123560784,0.18401970599196726,0.05677580795315515,0.046830044148512474,0.24319640508428686,0.015605354489821597,0.047253699166929335,0.06291035072522391,0.019143045384766764,0.06132209111068468,0.050953424307331456,0.0262692903742379,0.05956903271309064,0.06277236646168549,0.8392640075417835,0.054959876511796735,0.09632340169246284,0.09452597382426306,0.08035134084343346,0.19910121624407337,0.036652525765234825,0.11711007150344951,0.3511759959667427,0.4295272659731574,0.14952762952526766,0.13283084227467676,0.06363621472679394,0.06292554268813919,0.06477409177608529,0.06339418338738807,0.13292748658775672,0.18986868373630997,0.0467780224623553,0.23057020625077496,0.024403760854833124,0.2687848081445994,0.02140756688956003,0.02034015730628396,0.2541151290200613,0.5238499245852187,0.12683584909875045,0.11122504626863283
OCKRA,0.013810631770420167,0.3211687098823464,0.017944001740841205,0.006576105862192829,0.007824560072659172,0.007339425006436271,0.04194230802624996,0.050633598674508826,0.0636217024315827,0.014951252845249128,0.02721915899494751,0.00942588792111707,0.0193472963407866,0.019869193007795365,0.02342769119931857,0.09136848842654359,0.2583440604293263,0.009447563156901989,0.00723845916614047,0.011440250250045053,0.024975102806502843,0.06377420514016977,0.07241055489469769,0.06588950629086869,0.0520897902546313,0.012715313307800338,0.023877310690508705,0.21544435116766336,0.5128933426720372,0.22678160333161462,0.22105707521361057,0.2536198780846991,0.03323071068058595,0.057275806947787174,0.009612743835082906,0.20407941356631082,0.030516604186591384,0.013660688869161964,0.0767830983093335,0.060318547947880205,0.08481016497029116,0.01745960647647534,0.02758171236329615,0.03387132178888742,0.06408542653318593,0.5,0.03382316691329737,0.5,0.12699366254328467,0.13362842049211457,0.1954957515123555,0.05458290509524241,0.5,0.5,0.019299962596108642,0.5,0.5,0.018165932332202178,0.0648889246293176,0.5,0.024947645056108643,0.058203395246170075,0.06192057992888424,0.8886547376374413,0.5,0.5,0.5,0.08524925254794771,0.031581264239761396,0.0356803156242368,0.10829912275067041,0.45904212994661897,0.6021772748558349,0.1391348448089069,0.09793111598441248,0.0631447446319397,0.06329510782840671,0.0598188415971707,0.06103956899999604,0.10488314880290472,0.03158118033385582,0.0442688190860287,0.11829657332555762,0.022893812838536566,0.5,0.035771885877532224,0.02034015730628396,0.053498246356855246,0.03685650525800929,0.06641708934221302,0.14448400346512547
SoGaal,0.013541568384565524,0.19076952198965455,0.023708746941487738,0.007686303855205044,0.034160404105136155,0.007921677756962783,0.03524436140928022,0.027826776990812173,0.03677882167417938,0.01820553095524123,0.03589022269551399,0.04050407434022538,0.014526460210515787,0.021734287189250457,0.032944803693773624,0.2709720771396651,0.2695886199495638,0.020641379018541323,0.015262552886474982,0.01270608939802973,0.026479273705316022,0.062019357153149685,0.08190246838656279,0.09275386021200276,0.06236079671370563,0.016484041962688746,0.03287162866130157,0.21284555721969967,0.18766401814657319,0.23501879805372902,0.23876031077386312,0.3251598277864072,0.08433136867571303,0.05464252958925671,0.012576301063690405,0.2012812502895455,0.043947716225662264,0.013891663237331014,0.0936745045889863,0.09004939148115582,0.0813775793050533,0.022188775456024233,0.028063814176007645,0.0354966248439162,0.08499517123829954,0.0691573462439074,0.040327823424183,0.03596190571160769,0.2591929754520222,0.13835499950842123,0.8261913448207641,0.1105599516644938,0.04500899877203688,0.22713646290394346,0.020722565433678064,0.04208344278707028,0.06204144748092484,0.028599407667803896,0.4119723136422054,0.06188494821597003,0.024957359561277523,0.06421200413121583,0.05393595461629191,0.4560765557061448,0.06569318640277642,0.09325064674666929,0.14408803864389227,0.07789631941724755,0.046471591405219725,0.035644778851801465,0.2233503020571205,0.4597965322981415,0.410556739984494,0.14110110548689073,0.12310803799501964,0.4487163814831957,0.17714190788240997,0.08987643427557197,0.10772719824943416,0.21796102402736928,0.03618043619985554,0.04230590837682873,0.0924124692158085,0.03863845219108377,0.7635606229696575,0.02150538604112664,0.02013536727822442,0.11222411259104018,0.07007117915659414,0.0810852014829701,0.11855920086649026
MoGaal,0.014547167237940651,0.20942445857014866,0.018221076539680504,0.006337570305517366,0.08633465551790062,0.008065511808621199,0.03555550527424099,0.06591017385632837,0.02690073722868947,0.021167169394813723,0.08919896256767532,0.012707584747382938,0.0163025327757967,0.025427470265594464,0.06018682391626593,0.2276031838183942,0.2478703658089738,0.012594850123128373,0.011005497898165467,0.013924672491556992,0.026203441545592933,0.06278748805349241,0.06992879164153978,0.09870534989362706,0.10643625555794366,0.031112305702980805,0.01594124958417925,0.23110805182223101,0.19115296976885854,0.2609999403623273,0.5683623451230323,0.3393126964837372,0.061749319476824334,0.062007059210509474,0.012173765426351199,0.25323153021746025,0.03783791475207326,0.014143163740343372,0.08785414800392737,0.1980846782122358,0.20533978891101795,0.016359950773113245,0.047301230292460486,0.035114504752508525,0.07036615107093996,0.14301047295373964,0.0334687321588855,0.10573533903644297,0.59094430475767,0.402848479198705,0.1538297797750404,0.0711104769034409,0.04223256089839701,0.23984558687203789,0.01435437827596136,0.08908224827563355,0.0662395850582682,0.20496969561351006,0.5186824943020079,0.047309267515453654,0.02615509063777815,0.054581608601532,0.20162921566945613,0.4642847900698758,0.22672355778324624,0.2562978846812438,0.0905940483996972,0.0745668234847988,0.03149419997807401,0.035497678322481505,0.25435780340941316,0.3001792989904426,0.3354005277423587,0.14783894478615398,0.1065131061004848,0.0651727284472865,0.06104869447506383,0.07608742483984088,0.08465096084346305,0.19403763617739084,0.244194434530569,0.04131483154640164,0.08519915034738174,0.035916796521666905,0.9723764285284405,0.02175296454957472,0.02034015730628396,0.17958017603565307,0.09332520685579196,0.14423519407763102,0.13291012028734217
