model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
AvgKNN,0.8560736079328756,0.674793252451787,0.6910727249036726,0.60732833237161,0.8235365853658536,0.8600198412698413,0.6882434024767115,0.5,0.5,0.664559748427673,0.5706971551757324,0.8550085616438355,0.5136663379760879,0.6515873015873016,0.6703138622493461,0.5656829925041845,0.558450665303359,0.8107725321888413,0.739495521601686,0.5753726076306722,0.6834639723860205,0.5761416882299462,0.640464368137632,0.5469088517486846,0.6248863119599819,0.8890269886363636,0.5248400852878465,0.6525215036821772,0.5608256628657783,0.5554993736999965,0.6691969879444789,0.5980724299065421,0.8553594016388935,0.5054245283018868,0.5707720588235294,0.9758572376668387,0.5407563025210084,0.9389925747541641,0.6574607329842932,0.7673180592991914,0.6047733516483518,0.8114824335904027,0.7994579945799458,0.8436619718309859,0.5536671539961013,0.5536870026525199,0.5695601851851851,0.7552083333333334,0.5046130952380953,0.5244439669066294,0.6218420844222697,0.757941437444543,0.8093877551020408,0.6567708333333333,0.7981735159817351,0.7698317307692306,0.8362162162162162,0.9250440917107583,0.77811004784689,0.7883522727272727,0.9971590909090908,0.8336964415395788,0.7919117647058824,0.7610356536502547,0.803515625,0.7137896825396826,0.7847222222222222,0.663924794359577,0.7831010452961673,0.9130434782608696,0.5418695228821812,0.5021021021021022,0.7346273291925467,0.8368320610687023,0.5348955680081509,0.8002533783783784,0.8595890410958904,0.7668103448275863,0.8342013888888888,0.5362479247371333,0.8581706063720452,0.65234375,0.5024813895781638,0.5807692307692308,0.6734375,0.9868421052631579,0.9595959595959596,0.8842676311030742,0.9210526315789473,0.8874458874458875,0.7096936086602612
LaKNN,0.8735340389016019,0.7135438559408545,0.6880200286655623,0.5448575275465062,0.8358689024390243,0.8623842592592592,0.7223630286726398,0.5,0.5,0.6726886792452831,0.5198925972976094,0.7782106164383561,0.5473468507333908,0.6870659722222222,0.651449433304272,0.5439596827014046,0.5423984082461691,0.7726824034334765,0.6587526343519494,0.5128077386141903,0.6796706457644183,0.6411462340023778,0.644267081614099,0.5236381925100588,0.6302580718508413,0.8495649857954546,0.5100213219616205,0.6682714190679597,0.5593888812565828,0.5635378480561717,0.6724876221062491,0.5908119158878504,0.8526920750151241,0.507822327044025,0.5538832720588235,0.9791165843226901,0.5088235294117647,0.929560505719446,0.6863547120418847,0.7681940700808626,0.6199175824175824,0.7999143101970865,0.8333333333333334,0.8473751600512164,0.5468445419103314,0.5548541114058356,0.6359953703703705,0.7512400793650794,0.5174107142857143,0.543999140431933,0.6312663340460918,0.7413487133984028,0.8012244897959184,0.6577256944444445,0.7949771689497718,0.766376201923077,0.8302702702702702,0.9122574955908289,0.7923145933014353,0.8029119318181818,0.9992897727272727,0.8700072621641249,0.7636029411764705,0.7634408602150538,0.8109375000000001,0.7836061507936508,0.8182043650793651,0.6690658049353702,0.7643728222996515,0.9198757763975155,0.5630477117818891,0.519069069069069,0.7274844720496895,0.8379770992366412,0.5374426897605705,0.7787162162162161,0.8632277397260274,0.7963362068965518,0.8203125,0.512174875484228,0.8705035971223022,0.66484375,0.5124069478908189,0.5326923076923077,0.72359375,0.9890350877192983,0.9595959595959596,0.9113924050632912,0.9161184210526316,0.8939393939393939,0.7102356516330482
MedKNN,0.8403949752097635,0.6380374655620915,0.5698443869478622,0.6713378946500701,0.7887347560975612,0.8587797619047619,0.6604637719824806,0.5,0.5,0.661305031446541,0.5921295761635292,0.8763698630136987,0.5156384814495254,0.6264880952380952,0.6721992153443767,0.5694454552070447,0.5590586268359747,0.7963090128755366,0.7616899367755532,0.6415493834848673,0.6603084999280886,0.5236992097349464,0.6198248129239807,0.5573158464871557,0.5971180081855388,0.8958185369318182,0.5353411513859275,0.6364097895731943,0.5616842972935843,0.5514083131270182,0.6520625767916013,0.6006366822429907,0.8496122752021118,0.5080581761006289,0.6101792279411764,0.9626502470319298,0.5658963585434174,0.9413004214328717,0.6170811518324608,0.7330525606469003,0.5905906593406594,0.9288774635818338,0.7058773712737128,0.8408450704225352,0.5509259259259258,0.516339522546419,0.541087962962963,0.7472718253968255,0.505282738095238,0.5137530890727409,0.6153480636730816,0.7536823425022182,0.7955102040816328,0.6411892361111112,0.7799086757990867,0.7648737980769231,0.828108108108108,0.9201940035273368,0.7664473684210527,0.7686434659090909,0.9928977272727273,0.7986564996368919,0.7931985294117647,0.7560130164119978,0.778515625,0.660218253968254,0.7224702380952381,0.6728848413631022,0.8044425087108014,0.7788819875776398,0.5391918208373905,0.5177177177177177,0.7158385093167702,0.7979961832061069,0.5407539480387162,0.8110219594594595,0.8495291095890412,0.750646551724138,0.82421875,0.548699501936912,0.854573484069887,0.6386718750000001,0.5058933002481389,0.5990384615384615,0.64125,0.9868421052631579,0.8855218855218856,0.8553345388788427,0.856907894736842,0.9025974025974026,0.6992712772831605
PCA,0.6295051487414187,0.7428235842326621,0.9999627719970962,1.0,0.5732012195121952,0.6344246031746031,0.9984288964479721,0.7199826489300174,0.5403987120641227,0.620943396226415,0.6019363282904108,0.5625856164383561,0.7396770615062246,0.8905009920634921,0.7368134263295554,0.5590277272396478,0.5300491896149117,0.8650214592274679,0.5532797681770285,0.6749699007763523,0.8029088163382713,0.8234491922512064,0.7478494999650326,0.9375967192819561,0.6726352887676216,0.8211115056818181,0.5892324093816631,0.5972830082980288,0.5721481888537803,0.5715993058987119,0.583664829750739,0.6311331775700935,0.6431281966672165,0.6072327044025156,0.8134191176470588,0.9566108694049111,0.6558823529411764,0.8175797712221554,0.6734947643979058,0.8383423180592993,0.6021978021978022,1.0,0.7838753387533876,0.6263764404609475,0.6567982456140351,0.8546949602122016,0.9212962962962963,0.8179563492063492,0.6895833333333333,0.530246051359192,0.5576938306802882,0.7858030168589174,0.812857142857143,0.5034288194444445,0.8182648401826484,0.7956730769230769,0.7640540540540541,0.8624338624338624,0.8253588516746411,0.8771306818181819,0.9332386363636364,0.7716049382716049,0.7838235294117647,0.8681380871533673,0.8355468749999999,0.8854166666666666,0.888640873015873,0.8933607520564042,0.5374564459930314,0.8347826086956521,0.6343719571567672,0.5803303303303303,0.657608695652174,0.8854961832061068,0.6067244014263882,0.7905405405405406,0.798373287671233,0.8025862068965517,0.8051215277777778,0.6032097399003874,0.6382322713257965,0.903125,0.5880893300248138,0.7230769230769231,0.8796875,1.0,0.9696969696969697,0.650994575045208,0.5493421052631579,0.6623376623376623,0.7397390233565413
COF,0.7676630434782609,0.5644454265736953,0.568843884369823,0.5190833402027863,0.7770731707317073,0.8272817460317461,0.5348792399416024,0.521696067090804,0.5042748509967802,0.615,0.5561458213034608,0.9195633561643837,0.5159620362381363,0.5704613095238096,0.5565170008718396,0.5090459209664507,0.5433448938139913,0.7128755364806867,0.8557692307692308,0.5568979117366214,0.702987918883935,0.5435694803832436,0.5032869431428771,0.5222260909935005,0.6768985902683038,0.7733487215909091,0.6192963752665246,0.5886115098677684,0.5091129733937811,0.5049012284673462,0.5655511356033235,0.5098890186915888,0.8111422757520761,0.5080188679245283,0.5622702205882354,0.5901629673327926,0.6693277310924369,0.8424643788882199,0.5707460732984293,0.6268867924528302,0.5455357142857142,0.7422879177377892,0.5120257452574526,0.5998719590268886,0.601364522417154,0.5124668435013262,0.512962962962963,0.5503472222222222,0.5790178571428571,0.5641989900075212,0.5870753148016155,0.6216503992901509,0.6448979591836734,0.6244791666666667,0.7543378995433789,0.546875,0.6035135135135135,0.7354497354497354,0.5439593301435407,0.5078125,0.9609374999999999,0.7273057371096587,0.5761029411764705,0.5346632710809281,0.587109375,0.6192956349206349,0.5850694444444444,0.526439482961222,0.6350174216027875,0.6546583850931676,0.5399221032132424,0.5635135135135135,0.5812111801242236,0.5616412213740458,0.5165562913907285,0.5168918918918919,0.6262842465753424,0.5469827586206897,0.5933159722222223,0.5650249031543996,0.896197327852004,0.57734375,0.5806451612903226,0.5019230769230769,0.6028125,0.9100877192982456,0.9595959595959596,0.918625678119349,0.8782894736842105,0.777056277056277,0.6245352648179077
BRM,0.842522406559878,0.6990697261060362,0.6842972283751838,0.6629022064682769,0.8259451219512195,0.8329695767195767,0.6039781527675878,0.5065934065934066,0.546482153867233,0.6614779874213836,0.6683797205220001,0.7912671232876712,0.5102304942684581,0.6735615079365079,0.6626416739319965,0.5609417072993231,0.5557562903292663,0.9040343347639486,0.6762381454162276,0.5186615186615187,0.7100891701423846,0.5940275543744318,0.6303762500874187,0.5047199009594553,0.6126648476580263,0.9195667613636364,0.6498933901918977,0.5453123723492408,0.6444452076750469,0.5787241866718763,0.5218422685303457,0.6977570093457944,0.8131771434856734,0.5030660377358491,0.7998621323529411,0.9781727011282354,0.6673669467787114,0.9277543648404576,0.6379581151832461,0.7622641509433963,0.6249313186813187,0.737789203084833,0.8136856368563685,0.7915492957746479,0.5445906432748537,0.5358090185676392,0.6543981481481482,0.734375,0.5061011904761905,0.5159557322445472,0.6206541537974182,0.7634427684117124,0.8279591836734694,0.6914496527777778,0.8447488584474885,0.7734375,0.8375675675675676,0.8659611992945326,0.7828947368421053,0.8039772727272727,0.9936079545454545,0.8079157588961511,0.7639705882352941,0.7617430673457838,0.7890625,0.8531746031746033,0.8623511904761905,0.6730317273795535,0.6907665505226481,0.9118012422360249,0.563777994157741,0.5063063063063064,0.7102484472049689,0.8349236641221374,0.5359144167091188,0.7842060810810811,0.8732876712328768,0.7719827586206897,0.8576388888888888,0.5201992252351966,0.723535457348407,0.809375,0.5055831265508685,0.6365384615384615,0.7034375,0.9649122807017544,0.9663299663299663,0.8752260397830018,0.9407894736842105,0.8073593073593074,0.715080736948437
OCSVM,0.6623402936689551,0.6841296186429482,0.858859333991028,0.9380100568790701,0.6336585365853659,0.6232142857142857,0.995301511075539,0.5822296124927704,0.519901349592382,0.6127358490566038,0.5794164068214189,0.5193493150684931,0.7568100579317145,0.9010664682539682,0.7413034001743679,0.5338912742886253,0.5291925165462258,0.7733476394849785,0.6647128556375133,0.6129032258064516,0.7596181504386595,0.8359500664382125,0.7602804391915519,0.7612387805632931,0.6528535698044566,0.8130326704545454,0.5842217484008528,0.5478216215585355,0.5966020973576956,0.5228858065479952,0.5623760689999149,0.6491355140186916,0.6188197767145135,0.5874213836477987,0.5569852941176471,0.945579234569722,0.5894957983193277,0.8836042544651816,0.7102094240837696,0.844811320754717,0.6184752747252747,0.9811482433590403,0.7933604336043361,0.7058898847631242,0.6398635477582846,0.5250397877984084,0.9386574074074074,0.7901785714285714,0.5630952380952381,0.5453959385408832,0.6246931179219133,0.7242236024844722,0.7775510204081633,0.5299913194444444,0.810958904109589,0.75,0.7764864864864864,0.9664902998236331,0.7816985645933014,0.8263494318181819,1.0,0.8031953522149601,0.7672794117647059,0.7461799660441426,0.820703125,0.8139880952380952,0.814484126984127,0.8116921269095182,0.6358885017421603,0.8577639751552795,0.7103213242453749,0.5123123123123123,0.662111801242236,0.7950381679389313,0.7121752419765665,0.7820945945945945,0.7983732876712328,0.7681034482758621,0.80078125,0.6956281128942999,0.5015416238437821,0.6507812500000001,0.7208436724565757,0.7288461538461538,0.681875,0.9122807017543859,0.9595959595959596,0.5063291139240506,0.6480263157894737,0.5454545454545455,0.7148728029066651
OCKRA,0.853415808543097,0.7413439851655782,0.9693241256072818,0.8909405654933641,0.7634451219512195,0.8734457671957672,0.7785559186879802,0.5630566801619433,0.5399602658080427,0.6316352201257862,0.5697347653693652,0.8872431506849315,0.6067114507580427,0.769469246031746,0.6592632955536181,0.5098100574921767,0.5512449394111063,0.8932188841201717,0.7727212855637513,0.5183293892971312,0.7460089170142384,0.693842226729142,0.6723372263794671,0.627572732900031,0.6020350159163257,0.875,0.6061833688699361,0.5522332317962724,0.6208155882218254,0.5494087498132592,0.5522304538763791,0.6647079439252337,0.8108672936259143,0.5692610062893082,0.7366727941176471,0.9691025735565224,0.6677871148459383,0.9137066024483242,0.6100785340314137,0.7849730458221025,0.6038461538461538,0.8521850899742931,0.8006436314363143,0.8309859154929577,0.5335038986354776,0.5,0.8881944444444444,0.8350694444444444,0.5561011904761904,0.6389814118405501,0.603151975924606,0.8285714285714285,0.5,0.5,0.8538812785388128,0.7704326923076923,0.8613513513513513,0.9576719576719577,0.8104066985645932,0.5,0.9744318181818181,0.8431372549019608,0.7779411764705882,0.7256649688737974,0.5,0.5,0.5,0.859283196239718,0.6855400696864111,0.9031055900621118,0.6265822784810126,0.5579579579579579,0.7301242236024845,0.8986641221374045,0.5618950585838003,0.8222128378378378,0.8480308219178082,0.8258620689655172,0.8129340277777778,0.5705589374654123,0.8345323741007195,0.85546875,0.554590570719603,0.7346153846153847,0.5,0.5482456140350876,0.9696969696969697,0.8390596745027125,0.8453947368421053,0.7987012987012987,0.7155211632119995
SoGaal,0.761751525553013,0.5009475679090335,0.6693548387096774,0.9622454867694337,0.5639100609756097,0.7595568783068782,0.5194535227550635,0.575477154424523,0.709830787148044,0.684748427672956,0.6126765985294684,0.5540667808219177,0.5004314063848145,0.749454365079365,0.5051438535309503,0.519569172549305,0.5958541168667874,0.5465879828326181,0.5249604847207587,0.7389463195914809,0.5638663166978283,0.5374326876005314,0.57224281418281,0.5467927886103373,0.558606184629377,0.5,0.6528251599147121,0.5039506086388198,0.5050602188945368,0.5047403440627909,0.5066542583604003,0.5,0.6811307265027773,0.6501572327044025,0.7571231617647058,0.9919917410220486,0.6362745098039215,0.6467991169977925,0.8100785340314136,0.7925202156334232,0.5768543956043956,0.9342330762639246,0.7821815718157181,0.5028169014084507,0.5442251461988304,0.566551724137931,0.9590277777777778,0.7425595238095238,0.6296130952380952,0.6964650263242721,0.6923259681634593,0.5020408163265306,0.5673469387755102,0.5,0.7420091324200914,0.5120192307692308,0.7791891891891892,0.7724867724867724,0.5091208133971292,0.5774147727272726,0.5,0.6474219317356573,0.8970588235294118,0.74830220713073,0.827734375,0.5,0.5,0.5,0.8101045296167247,0.5,0.5413826679649465,0.5,0.715333850931677,0.811736641221374,0.5,0.8989653716216216,0.860873287671233,0.628448275862069,0.537109375,0.6845600442722745,0.5,0.5,0.5964640198511166,0.5576923076923077,0.9834375,0.7807017543859649,0.5,0.5,0.6677631578947368,0.5,0.6361865105044476
MoGaal,0.6611961289092296,0.507209442532228,0.7007985406622862,0.9440551754458275,0.5784146341463414,0.6055886243386244,0.5032200211950761,0.7443464430306536,0.640706994587929,0.5807861635220126,0.6182777072025253,0.5618364726027397,0.7178602243313201,0.5734375,0.5517872711421099,0.5066661815006186,0.5415365536871486,0.5465665236051502,0.55090885142255,0.6841449744675552,0.5775025168991801,0.5554234561857472,0.5761242044898245,0.5388182838130608,0.5093792633015006,0.5271661931818181,0.670682302771855,0.5,0.500996015936255,0.5,0.5,0.5010922897196262,0.6177748446350987,0.6960691823899371,0.7625229779411765,0.9768748617358602,0.523249299719888,0.8043347381095726,0.6110602094240838,0.7716981132075471,0.504532967032967,0.9473007712082262,0.861449864498645,0.5,0.5642056530214425,0.6082228116710876,0.9766203703703704,0.9370039682539683,0.5138392857142857,0.7337487912324057,0.9162904886354637,0.5,0.7633673469387754,0.5078125,0.5990867579908675,0.7468449519230769,0.6389189189189189,0.701058201058201,0.5056818181818181,0.5028409090909092,0.7471590909090909,0.5154320987654322,0.7388327205882352,0.9726938313525749,0.68310546875,0.5,0.7336309523809523,0.8486339600470035,0.5,0.937888198757764,0.7179892891918209,0.5088588588588588,0.5,0.5,0.6967651553744268,0.9047719594594595,0.5034246575342466,0.6265086206896552,0.7026909722222223,0.5,0.9054470709146969,0.5,0.5,0.5269230769230769,0.8640625,0.668859649122807,0.5,0.5,0.7072368421052632,0.922077922077922,0.6444659161506768
