model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
AvgKNN,0.18585693007805118,0.09842892163125852,0.09817798976945373,0.0315446359746679,0.1876571263972242,0.1527811243195371,0.15379263707817536,0.03762662807525326,0.03979739507959479,0.04198860192299875,0.044103395976518245,0.3468465656326867,0.023926290028216585,0.06371796374646531,0.06267045879218386,0.11740346724178641,0.3345657886013707,0.20968621888151603,0.038267684032386944,0.03277130393089493,0.07969173848506636,0.14726190727198146,0.20135535516985853,0.0901955264302598,0.05322215172808154,0.43882350588430435,0.02571292911789769,0.32272507208045126,0.31329854937602764,0.26845714718078595,0.19437550909539375,0.4532405411642345,0.29451232103063296,0.04648933232031602,0.017943757726767665,0.9447735878807132,0.036745153729721244,0.4066610001313069,0.1579534508938152,0.2382289449171459,0.15073716114634828,0.021118219988898054,0.2826871637179394,0.34311332933277716,0.08165170292223936,0.09350531446645774,0.05355449231223622,0.1536160128681355,0.11431172738091455,0.1567459282249048,0.3291836742319413,0.2171412875669757,0.2396300765613711,0.4170308774338381,0.08753636396656991,0.1811967677418781,0.30101758298959924,0.35385146254711475,0.2676085858530781,0.21595958793848596,0.9317956349206349,0.395882965731829,0.2641496834582565,0.5080944425841486,0.299194489564355,0.2927311737049615,0.32617369926012196,0.2609292859864015,0.1030786963713793,0.2961985189732868,0.07017749361058036,0.3795852758181161,0.2274839177297283,0.6033400932150861,0.0738000330613631,0.21543015924611822,0.34313372137248016,0.25624556696171463,0.2998842708056501,0.07993555677480346,0.2212318870637686,0.12196621070751307,0.10182613317327907,0.07156510541927208,0.2622135246835502,0.7678571428571428,0.3206349206349206,0.36413454270597123,0.375,0.5518282886703939,0.22755531514515034
LaKNN,0.17936524182324132,0.0943515083653224,0.22819947203364538,0.013326053424875165,0.19702216055537247,0.15019447462597535,0.16419376648347406,0.03762662807525326,0.03979739507959479,0.03982687881068845,0.03740192160659406,0.3069094699008043,0.026667323568296614,0.07410961949228925,0.056221668733845064,0.11158640860615737,0.32301075951214464,0.2278380123047973,0.022937352305535667,0.01870027364199438,0.0755285497841178,0.1884210680959037,0.21216407233779397,0.10348702992869743,0.058035412228852584,0.4266712353327151,0.02302301306991214,0.3338279322109732,0.320071589164039,0.26910225517183395,0.19402644078549336,0.4531677889461296,0.29288766590096793,0.04459556546770247,0.013797661500501622,0.9472266570230721,0.029388235911108458,0.42402138731233946,0.177675531387131,0.24128943411246032,0.16014643967332987,0.03876778060669868,0.3614628700234945,0.36749859980590316,0.08240375331111453,0.09491713957127504,0.04673333676826705,0.13370337239921298,0.1125174204251662,0.1615067120844772,0.3232131434149823,0.2125930281891103,0.23762638745539927,0.4196790855309555,0.13378137166816412,0.1763439231906365,0.26435734181897774,0.23095916429249763,0.278036870552479,0.23621764558064068,0.9861111111111112,0.44845441271955533,0.2524126951780414,0.5069820528790655,0.30393232596342723,0.313934890576545,0.3554516627429406,0.21762791555425542,0.09906516047770722,0.49192185007974476,0.06810240795631567,0.35807656047093855,0.22924122393190047,0.6306759639373445,0.0757904637590466,0.20184621964032123,0.3506296756477799,0.24778349140989395,0.2626781062186951,0.08341792431635667,0.20573444480767134,0.12864406822136432,0.0996240027703902,0.06847286702389774,0.24831208998439147,0.7678571428571428,0.3206349206349206,0.4185714285714286,0.25595238095238093,0.4132275132275133,0.2295703030511834
MedKNN,0.1863266668106535,0.103137450030383,0.06975169976338094,0.03140929403012794,0.16523779292509166,0.1490968304836243,0.14686612822364842,0.03762662807525326,0.03979739507959479,0.043088226234366964,0.052064827158514675,0.3379410181807293,0.02297245809944535,0.06242869014206466,0.06526100632175214,0.11904612198775714,0.3351406891009988,0.1654866235327638,0.03928999563134959,0.03269922177217494,0.0714168629741765,0.13364553976266896,0.19663479048604693,0.0870608627849784,0.05023777645386804,0.3706450061313929,0.026345836949836297,0.31689724479281794,0.29820878881760154,0.26920455019799744,0.19346911496030414,0.448603116379193,0.28793159149408293,0.04690145623665422,0.01979699754934166,0.9298210460584696,0.04080845240468363,0.3817189190394932,0.14408029945783238,0.23188014938043713,0.1456232611765057,0.017718674489717534,0.2475827407048995,0.34002001048113595,0.08086868362900441,0.08538266720616225,0.06053193341441372,0.16611301653846722,0.11581794746489323,0.15640076913472473,0.32962424360809844,0.21692878916463162,0.23542382237712361,0.4096842490733746,0.07838657949919822,0.18540557141098676,0.30985649760111383,0.2084967320261438,0.271358251225307,0.20375930213621848,0.8809523809523809,0.3667879146343628,0.2669750428196854,0.5123796089236019,0.28612162628706744,0.28474604314376184,0.31162820732244684,0.2749479241128593,0.11299031771994325,0.20033823529411765,0.07051096514551317,0.3935646883969892,0.23509115266245711,0.5531772630773318,0.07277582773014332,0.23170131986681575,0.3374040290158087,0.2587424808266358,0.3372954329301553,0.0781546767079375,0.22131132756132754,0.11759169777232364,0.1023247684143211,0.06258718133718134,0.2748021670615275,0.7857142857142857,0.17777777777777778,0.419546766074851,0.30405405405405406,0.6210211357270181,0.21964419119247064
PCA,0.09786882338385557,0.09190949759994231,0.9989506103641822,1.0000000000000002,0.05028605733962135,0.04785599486776198,0.9365816569390628,0.06859844704818255,0.040099414707971785,0.015504820541037818,0.06809665865407,0.049289220455680904,0.05011736417869993,0.12381414089177556,0.06875401726697243,0.11404343672052225,0.2737991117559807,0.2461694001161467,0.012620266466308419,0.028138176908317977,0.16745030025840502,0.30667864062349565,0.3218396085639873,0.556744252813399,0.0618034212107435,0.3728114111621954,0.032361112655303975,0.2884029962443706,0.2725375883620365,0.28934929504917367,0.23728182954144164,0.4700873607341217,0.11625812384103351,0.05629429479363443,0.04620577132432524,0.9577312839790648,0.04960225722348215,0.41437737439592215,0.1579338708238155,0.2882522824153087,0.18015068877089696,1.0,0.2988838696713976,0.2990129186407545,0.1248534358476828,0.3059922703865606,0.6180164541651229,0.23844792928238945,0.1686083612019001,0.1471108010991491,0.24212416320316033,0.4179972352559583,0.437001747133207,0.3170104592785429,0.30446688446688447,0.23164273674973412,0.28443795297519175,0.18571001367054,0.408909063550738,0.42653268188405463,0.44086892957030255,0.39604659494937766,0.31563625877863555,0.46678413429362814,0.36555522604257756,0.4604822693554905,0.49881760882782195,0.41782197014836303,0.04935599879598963,0.38258385276032336,0.06235222007961017,0.3286721332662491,0.247151212857073,0.6465401101937871,0.06753091219982246,0.2266686489325691,0.29794706131031445,0.3580046842808292,0.3014130822050427,0.07190443669002941,0.09755265827578874,0.5538658677615392,0.09972834923633578,0.06454545454545454,0.6757854725104194,1.0,0.38333333333333336,0.2733658687606056,0.10557359307359308,0.2058439658505491,0.2927237974260075
COF,0.07381781856765653,0.11900689089696653,0.04249674875072567,0.012022160001222354,0.05126594579503839,0.10251445782291285,0.11066848692867881,0.049483599859053054,0.038798515364026134,0.044078105519082825,0.047390790722503406,0.37371257635076005,0.023028649266809795,0.039891018049248425,0.043721564809616226,0.10807017116686371,0.328454476385248,0.11644181063743522,0.15274754238216148,0.016737728062672725,0.07087967225041344,0.11093631025714466,0.12735762719999272,0.12888999617925012,0.10322111854489714,0.3277713917011375,0.03218287251306166,0.30973282559560184,0.27921611527907453,0.2532609288135438,0.2045840728576317,0.3420414168707112,0.2811431189110083,0.045032449745866274,0.026010830923834286,0.2829797354063988,0.06978707147248098,0.19070580634751755,0.12170535042896882,0.16352451130026496,0.08856091048228648,0.041001850227187935,0.06874018064160693,0.05431431781969508,0.1019154725992957,0.11124142200585205,0.05402833610052759,0.058808731222941085,0.10934047133718477,0.1373817703381422,0.32162045744172296,0.1160907088325919,0.13717013124044952,0.3891490104533128,0.06800353126819254,0.09859988663330388,0.14869838232961516,0.07133424947826571,0.15127949005411961,0.12387690891407993,0.3729333778966132,0.27841126171161934,0.16934860010379324,0.609835937915091,0.17650126334011723,0.2763496695385959,0.2105330765839877,0.20467854837981675,0.1945152004482385,0.18670335841096197,0.07291164627330049,0.3805392924404888,0.27520795886224536,0.46767820158595363,0.08302722329833062,0.10700536403620624,0.21556102250903486,0.12099014008872971,0.19677904349566214,0.07718627414925738,0.3081373231021546,0.09950968563668214,0.08709684731789019,0.0875139353400223,0.4821520611438718,0.4675032175032175,0.3206349206349206,0.42414719510992804,0.24345238095238092,0.36280617955427413,0.17084576340801383
BRM,0.013851729907402147,0.22067582891826631,0.02369318828431438,0.011783278368687249,0.007156541947826426,0.007694065147739376,0.05526358646542999,0.05973865516933155,0.03685048972291334,0.014913643904599922,0.022880322794886887,0.010538865710421692,0.025163010176723507,0.020473621380091764,0.025433835444772755,0.09054360091388522,0.26548826574457096,0.009334055526580533,0.008049251916650527,0.027657696063267033,0.02648263937507022,0.07852598766781092,0.07599841803420464,0.09594129066765159,0.028442052997815204,0.012302738241160419,0.01774859769903056,0.2181055511902108,0.48850346581570203,0.20889650525556372,0.24498550543587336,0.25204395286138187,0.03347375490956295,0.05498385231717074,0.009581244756943394,0.20280502377051265,0.021530643005303184,0.013481358862779371,0.07220234443535742,0.060923002399697036,0.07603201167275292,0.2853257896099996,0.025327813429910733,0.036325333286697015,0.06868636207266372,0.07749046455306155,0.04580607461128168,0.04022123188447249,0.10132926833063968,0.16569253182032967,0.17843914791223336,0.055317559729392916,0.04650550166337278,0.20019129092872018,0.015322745249071944,0.04693353194386652,0.05885600994681084,0.019711362978622197,0.061851423224395755,0.05245041280894223,0.02491479456830722,0.05909324762408807,0.06315620133186582,0.8599841073822101,0.05795514667092125,0.09845969765482997,0.09674087889419634,0.09793099515636544,0.03187753475346909,0.03472899132577311,0.08967349370170297,0.3996217468734114,0.6210499232209115,0.14299433386581892,0.08813235982579881,0.06314449010658786,0.059260825565709115,0.06550845238294861,0.06061772807618826,0.09678928043693052,0.03703717537826134,0.04710470720792951,0.09820740245108753,0.027996494573146007,0.623647297570308,0.02182555039802264,0.020345074455899198,0.051926872644083806,0.032949079404706816,0.06513730203323548,0.09966409462665686
OCSVM,0.018967241611011907,0.22620876846830906,0.01905248031796196,0.006425698169650981,0.11178021009841196,0.010484868416150882,0.03511481820782937,0.0691081869351471,0.04333773851965943,0.033845114454863046,0.028299149164088013,0.019058887096013707,0.014942940579586582,0.01638719442383789,0.02130627154622486,0.09426293358205429,0.3096478831503202,0.010559491343557674,0.0195683580828978,0.015258667283062058,0.024930437606402248,0.05739563408815188,0.06350619391019727,0.05705590656357498,0.024140492296408578,0.0133938275294702,0.02157289300730788,0.2540822483528129,0.30418272196006246,0.313255612411553,0.20016038323000784,0.26842504341345624,0.0456577419147725,0.03806945974119852,0.016811966693035994,0.21893677295982192,0.029288372783197493,0.013825214690425159,0.06435301297643922,0.05630506560256917,0.08014656175637119,0.016629515211190084,0.0354966155028092,0.229419761365898,0.05100330329052945,0.13241430189825346,0.0313667053052299,0.03767651475835184,0.089282490414515,0.1818318752450284,0.17822896830321217,0.05752763897904382,0.047521861014435764,0.28119186110153815,0.015757620457517857,0.04710866748135273,0.06198381892768849,0.018494775964954996,0.061888318395848026,0.051183721197187025,0.024773580084740135,0.05905320539469389,0.062214177766479514,0.8478163754986223,0.055828075872513316,0.10090554239987595,0.10013540844300294,0.0947849421566117,0.3417630209978728,0.041814765587672865,0.15083980983661835,0.34569801838602493,0.39998111746952036,0.20820307714387712,0.17099552372147528,0.06269814135464255,0.06254223155927592,0.06480278384106053,0.06316284730346976,0.16856165479929014,0.45312940145057384,0.05747259583743372,0.23100606951310088,0.1410079656862745,0.24779164120368774,0.022581856073498482,0.02054915608855226,0.47158862898565895,0.05360525770564312,0.18807610629000032,0.11365004198004694
OCKRA,0.013718282432056568,0.3006766793894867,0.018002830215004578,0.00665495042245298,0.007577716205001101,0.007375360452743371,0.04075642821569114,0.0422768736324524,0.03484636188583993,0.014590857705034765,0.027415270498893626,0.009417738323643003,0.020319661021368934,0.018187806890838643,0.03022436764435533,0.09992106248517185,0.2611735971010089,0.009413590936720515,0.0071568647446881815,0.024200901345156393,0.025020228123264807,0.06610390078938426,0.07229353807303915,0.06952178571535055,0.030778457306492653,0.01266272725609481,0.02023891636027451,0.21402884659274107,0.5248997585773396,0.22487928732481569,0.20440841012986788,0.26017710012800654,0.03344777123122431,0.04220466298929878,0.01033451594995651,0.20404002148300643,0.024879963632155805,0.013623384171891061,0.08421577602257499,0.059739638483924204,0.08144100623739797,0.01822356836596943,0.028963852476927357,0.034452802486444695,0.06751710779345726,0.5,0.03273614999708171,0.036488009884185525,0.11740796182349127,0.1136569830747269,0.19887498634243994,0.05297557680991856,0.5,0.5,0.015008905176972405,0.04649938189012969,0.05764976470489497,0.018510477432738984,0.060396656942254066,0.5,0.025303430139975415,0.05732032506931354,0.06265301570540573,0.8346518376510363,0.5,0.5,0.5,0.08109220849102876,0.032415717204616105,0.035045316621435806,0.1065960414435418,0.414171608299429,0.6081904187473771,0.13882034177562586,0.10538328503406201,0.06200014027318774,0.06084915602407534,0.06275612930882535,0.06224730314347147,0.11137752285462485,0.03216989366042945,0.044749095530872265,0.12178961754159146,0.024406737664211225,0.5,0.04642296753947239,0.02034015730628396,0.05441970459345433,0.03609517852730418,0.06639199798129453,0.12755409146065874
SoGaal,0.014976865149939015,0.14270211611502984,0.023697312376616698,0.006374406260994072,0.14595546847457858,0.008407388396944535,0.06531103099380267,0.04079560581716049,0.026102457017254492,0.04977978366268708,0.026316069404843656,0.02369567969051372,0.0221380971428211,0.01861747692689556,0.03338522696407266,0.10338922663626768,0.24349374074864777,0.015438252687538474,0.012076443805907616,0.011663140978165537,0.03873098876918829,0.08916266208595708,0.08990895880567645,0.08370193745587115,0.04232498135775064,0.022222222222222223,0.01526662967601309,0.25149695326169297,0.25936116233071205,0.2541255781646269,0.23280042282538624,0.3485342019543974,0.18593958558798912,0.07811995475267944,0.009602397746753156,0.9832989164949465,0.020606882593175953,0.021602538909593082,0.3155466297601032,0.05906450925766712,0.19764916897544577,0.01708629451070031,0.03377203230396603,0.058666666666666666,0.07321094423194473,0.15014102829939413,0.030310935576334467,0.04025099614968362,0.07897938288034823,0.10559746553697022,0.1620406426569451,0.08614232209737828,0.08620689655172414,0.26229508196721313,0.045901462464239914,0.0699524312896406,0.22947385726535077,0.07053179209078742,0.09598033002991399,0.09913347230142462,0.043478260869565216,0.23972294584705817,0.6943185721542532,0.49907808437262674,0.3539689528149128,0.16279069767441862,0.16279069767441862,0.13450292397660818,0.11550696876278273,0.05847953216374269,0.07170581201633669,0.3508771929824561,0.4737319842476816,0.5863656903743553,0.07926829268292683,0.3762891554733271,0.5047989183374828,0.07804813599749348,0.10815217391304348,0.06309546593049378,0.04794520547945205,0.07246376811594203,0.08032702139787723,0.03361344537815126,0.19431635801747954,0.026058149043979396,0.029411764705882353,0.08139534883720931,0.06038155672732285,0.0958904109589041,0.13675367326708154
MoGaal,0.01723469413168744,0.14070002435703294,0.022732531971640647,0.006438170407264654,0.04252665155049441,0.043452837799637774,0.06731274813466594,0.02421165826266904,0.028889000054941927,0.024292670018940157,0.025963365665056283,0.02331372551466193,0.05393665331473575,0.04272819456503603,0.06323913481269158,0.09894515960705866,0.2734066447325769,0.015438939028344976,0.010939362433190429,0.012585018775571201,0.033458006983383845,0.13844794439470764,0.14451286945482922,0.08230451092727728,0.03197175538381913,0.021113821986669192,0.014807655654995344,0.25,0.2577777777777778,0.2559171597633136,0.23520710059171598,0.348041528706219,0.08475785617210504,0.09308888548207236,0.009412914028264939,0.9573918019526649,0.025569873206243234,0.015034264361149996,0.1228976720988533,0.060245815055608026,0.1063851637522098,0.01710430934217466,0.024396378866156677,0.058355437665782495,0.08237755028916731,0.14648694835644782,0.030501798166191425,0.03330254875948305,0.09731429999113805,0.1084311055209827,0.811432203584731,0.08582089552238806,0.1493889375791216,0.259306693989071,0.07851033573277205,0.2619510328312082,0.1318417537518661,0.056828677215203086,0.09853137270281867,0.08376963350785341,0.08247422680412371,0.09770114942528736,0.18411446315621294,0.9818159850105683,0.17150460662156336,0.16279069767441862,0.11112000948721609,0.08061003494170677,0.04093567251461988,0.03406672306818042,0.053435183970625987,0.32536133024977215,0.32748538011695905,0.23391812865497075,0.0566935486378815,0.6001887869075369,0.09937888198757763,0.15383176386126493,0.36006889923260754,0.08552631578947369,0.3973065719189274,0.07246376811594203,0.0948905109489051,0.031496062992125984,0.20950705699720829,0.032949684496294665,0.029411764705882353,0.08139534883720931,0.04315953144078144,0.6685374149659864,0.14273803310864625
