model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
AvgKNN,0.8432017543859649,0.679217637973814,0.5427563613349963,0.5452971725331794,0.8033384146341463,0.8229828042328042,0.6384757331199004,0.5313837478311163,0.6636021100226073,0.6322012578616353,0.6937098202255841,0.8545376712328767,0.5253913472205102,0.6376240079365079,0.649149956408021,0.554435630594571,0.5542329321708372,0.9041630901287554,0.7237881981032668,0.5197824552663262,0.684596577017115,0.5611056717252955,0.6446954332470802,0.5538919839059115,0.6263642564802183,0.9405184659090909,0.6359275053304905,0.5692377717867021,0.5913014608233732,0.5713120123191486,0.5480091967446443,0.6945560747663552,0.8022878512896662,0.505817610062893,0.8359375,0.9775680259567878,0.6801120448179272,0.9492273730684327,0.6134816753926702,0.7524932614555255,0.5994505494505495,0.7279348757497857,0.7825203252032521,0.7590268886043534,0.5844298245614035,0.5589389920424404,0.7141203703703703,0.7291666666666667,0.5162202380952381,0.5443214784570753,0.616535994297933,0.7677018633540372,0.8128571428571428,0.6746961805555557,0.8255707762557078,0.7818509615384616,0.8537837837837837,0.8871252204585538,0.790968899521531,0.7901278409090908,0.9829545454545454,0.8438634713144517,0.7926470588235294,0.7515563101301641,0.8140625,0.8291170634920635,0.8464781746031746,0.709165687426557,0.6733449477351917,0.9180124223602485,0.559396299902629,0.523123123123123,0.7256211180124224,0.8620229007633587,0.5017829852266938,0.8129222972972973,0.8720034246575342,0.7762931034482758,0.8381076388888888,0.5118981737686774,0.8139773895169579,0.840625,0.5192307692307693,0.5807692307692307,0.6859375,1.0,0.9629629629629629,0.8209764918625678,0.944078947368421,0.8138528138528138,0.7166871897782466
LaKNN,0.8586420194508009,0.7295059916556377,0.5808824898088342,0.5539801610199764,0.8290091463414635,0.820651455026455,0.6931679228084218,0.5189343551185657,0.6460574090566555,0.6449056603773585,0.632857912768988,0.8623715753424658,0.5573462344385554,0.6938368055555555,0.6387423714036617,0.5374208572884069,0.5407800560982687,0.8924892703862661,0.6793664383561644,0.525677751484203,0.6798863799798649,0.650124134554864,0.6491625288481713,0.5381847725162489,0.6273306048203728,0.9107776988636365,0.5866204690831556,0.5740461935273041,0.592944314695242,0.5817177857709236,0.5402965828497743,0.7039018691588784,0.8126271792333497,0.5068003144654087,0.8091681985294117,0.9799351080303813,0.6165266106442577,0.9510335139474212,0.6387434554973822,0.7626010781671159,0.6286057692307692,0.6760925449871465,0.8162262872628726,0.7586427656850192,0.5818104288499025,0.5631830238726792,0.6976851851851852,0.7424355158730159,0.5139136904761905,0.5446975394864081,0.6242575433594678,0.7484472049689441,0.8171428571428572,0.675217013888889,0.7981735159817352,0.7982271634615385,0.8489189189189188,0.9858906525573192,0.8177332535885167,0.8196022727272727,0.9822443181818182,0.8620188816267248,0.769485294117647,0.7658460667798528,0.8080078125,0.8561507936507937,0.8861607142857143,0.7038777908343127,0.6707317073170731,0.9285714285714286,0.5759493670886076,0.5307057057057056,0.7267857142857143,0.8487595419847328,0.5033112582781456,0.7949746621621623,0.8741438356164384,0.8053879310344828,0.8337673611111112,0.5268400664084117,0.8329907502569374,0.829296875,0.5108560794044665,0.6557692307692308,0.7012499999999999,1.0,0.9696969696969697,0.8517179023508137,0.9325657894736842,0.8268398268398268,0.721896238886748
MedKNN,0.8291142257818458,0.645633621486853,0.5110706773635127,0.584535487593768,0.7621493902439025,0.8234126984126984,0.611681747778593,0.5509253903990745,0.6404466671233815,0.6246383647798743,0.6849039534973246,0.8300727739726028,0.5132041168495007,0.6108630952380952,0.649117262423714,0.5566225165562915,0.5544453732745637,0.8967596566523606,0.7295508429926238,0.5366380205089882,0.665629943909104,0.5004633191132247,0.628015945170991,0.5542595171773445,0.5893303774442928,0.94384765625,0.6453091684434967,0.560963084859307,0.5903397902642304,0.5654914443972006,0.547273213872973,0.6848481308411215,0.7942583732057416,0.5105738993710691,0.8165211397058824,0.9650984440675466,0.6920868347338935,0.9449127031908489,0.5929319371727748,0.7154312668463613,0.5780563186813188,0.8179091688089117,0.6740345528455284,0.7631241997439181,0.5783991228070174,0.5178779840848806,0.7159722222222221,0.7216021825396826,0.5118303571428572,0.5395401310841302,0.607784905361527,0.7681455190771961,0.7992857142857143,0.6638020833333332,0.8200913242009132,0.770733173076923,0.8498648648648649,0.6649029982363315,0.7556818181818181,0.7643821022727273,0.9815340909090909,0.8135439360929557,0.803125,0.7358517260894171,0.8166015625,0.7425595238095238,0.7502480158730159,0.7165099882491187,0.7099303135888502,0.7487577639751554,0.5258033106134372,0.5156156156156156,0.7019409937888199,0.8137404580152672,0.5109526235354049,0.8188344594594595,0.8613013698630136,0.7538793103448276,0.8270399305555556,0.5022136137244051,0.7559095580678314,0.846875,0.5260545905707196,0.5461538461538462,0.67984375,1.0,0.936026936026936,0.7974683544303797,0.9424342105263157,0.7965367965367965,0.7001519940526061
PCA,0.6295051487414187,0.7428235842326621,0.9999627719970962,0.9999999999999999,0.5732012195121952,0.6344246031746031,0.9984288964479721,0.7199103528050896,0.5404192642323765,0.620943396226415,0.6019363282904108,0.5625856164383561,0.7396770615062246,0.8905009920634921,0.7368134263295554,0.5590277272396478,0.5300491896149117,0.8650214592274679,0.5532797681770285,0.6749699007763523,0.8029088163382713,0.8234491922512064,0.7478494999650326,0.9375967192819561,0.6726352887676216,0.8211115056818181,0.5892324093816631,0.5972830082980288,0.5721481888537803,0.5715993058987119,0.583664829750739,0.6311331775700935,0.6431281966672165,0.6072327044025156,0.8134191176470588,0.9566108694049111,0.6558823529411764,0.8175797712221554,0.6734947643979058,0.8383423180592993,0.6021978021978022,1.0,0.7838753387533876,0.6263764404609475,0.6567982456140351,0.8546949602122016,0.9212962962962963,0.8179563492063492,0.6895833333333333,0.530246051359192,0.5576938306802882,0.7858030168589174,0.812857142857143,0.5034288194444445,0.8182648401826484,0.7956730769230769,0.7640540540540541,0.8624338624338624,0.8253588516746411,0.8771306818181819,0.9332386363636364,0.7716049382716049,0.7838235294117647,0.8681380871533673,0.8355468749999999,0.8854166666666666,0.888640873015873,0.8933607520564042,0.5374564459930314,0.8347826086956521,0.6343719571567672,0.5803303303303303,0.657608695652174,0.8854961832061068,0.6067244014263882,0.7905405405405406,0.798373287671233,0.8025862068965517,0.8051215277777778,0.6032097399003874,0.6382322713257965,0.903125,0.5880893300248138,0.7230769230769231,0.8796875,1.0,0.9696969696969697,0.650994575045208,0.5493421052631579,0.6623376623376623,0.7397384484236893
COF,0.7284158085430968,0.559720797734484,0.5218714517059732,0.5891517599538373,0.7717378048780488,0.7627314814814815,0.510223289386899,0.5305957200694043,0.5291772281975748,0.5912264150943397,0.6454170997420795,0.9042380136986301,0.5633242943424134,0.5005704365079364,0.5347210113339145,0.5422676661087257,0.5480600500186534,0.8008583690987124,0.8090094836670179,0.6393075102752522,0.675877319142816,0.5720155255612281,0.519424435275194,0.5123220365212009,0.6758753979081401,0.8695845170454546,0.5040511727078891,0.5127855000408482,0.5122727480881073,0.5157379422884658,0.5313796333467149,0.5598831775700934,0.7970081944673597,0.5165094339622641,0.7846966911764706,0.5173217314357348,0.5410364145658263,0.8934376881396748,0.5210732984293194,0.611522911051213,0.5039835164835165,0.6561696658097687,0.5103319783197833,0.5330345710627401,0.5873538011695907,0.532944297082228,0.6324074074074074,0.5982142857142857,0.5657738095238095,0.5558182013538198,0.5959451968005068,0.5971606033717834,0.657142857142857,0.6208767361111112,0.8219178082191781,0.5501802884615385,0.5951351351351352,0.9497354497354498,0.5394736842105263,0.5237926136363635,0.9254261363636364,0.6989832970225127,0.5330882352941178,0.5301358234295417,0.536328125,0.6862599206349207,0.6272321428571428,0.5064629847238543,0.7247386759581881,0.8111801242236025,0.5438169425511199,0.5400900900900901,0.6273291925465838,0.6112595419847329,0.5700458481915436,0.5063344594594594,0.6172945205479452,0.5469827586206897,0.5989583333333333,0.5323741007194245,0.7728674203494347,0.61640625,0.5353598014888338,0.5673076923076924,0.5656249999999999,1.0,0.9595959595959597,0.8426763110307414,0.8848684210526315,0.7164502164502164,0.628770129923798
BRM,0.8326897406559878,0.7098472602196819,0.7268581426949351,0.6826587530569066,0.8079268292682926,0.8466269841269841,0.6044524481795208,0.5308270676691729,0.508926491744879,0.6525471698113208,0.6839126919967664,0.8420804794520548,0.5133735979292493,0.654092261904762,0.6597863993025284,0.5774907211993304,0.5466092327249112,0.8986695278969957,0.7301765015806111,0.5363889234856978,0.7133072055227959,0.580337785859151,0.6486642422547031,0.5440072732900031,0.619542974079127,0.9148615056818181,0.6202558635394456,0.536349100755109,0.6273984521683382,0.5624978452981533,0.5348953201221367,0.6818107476635514,0.8043227190232635,0.5011792452830189,0.7688419117647058,0.975871985841752,0.6879551820728291,0.9179209311659643,0.6606020942408377,0.7642857142857142,0.61875,0.7077977720651243,0.7945460704607046,0.7713188220230474,0.5604288499025342,0.5278514588859415,0.5863425925925925,0.7584325396825397,0.5279761904761904,0.5197163425378747,0.6182782925477152,0.737888198757764,0.7618367346938775,0.6805989583333334,0.821917808219178,0.7130408653846154,0.8121621621621622,0.9347442680776014,0.7954545454545455,0.7631392045454546,0.9928977272727273,0.7904865649963689,0.7683823529411764,0.7443406904357668,0.755859375,0.8425099206349207,0.8618551587301587,0.6956521739130435,0.7003484320557491,0.9,0.5730282375851996,0.5136636636636637,0.720807453416149,0.8362595419847328,0.5593479368313805,0.7930743243243243,0.8514554794520548,0.7581896551724138,0.8307291666666666,0.5373547315993359,0.802672147995889,0.82890625,0.5210918114143921,0.5365384615384615,0.7003125,0.875,0.9663299663299663,0.8842676311030742,0.8552631578947368,0.8051948051948052,0.7113876702195885
OCSVM,0.7457928108314265,0.7727350244638256,1.0,1.0,0.6251219512195122,0.7686838624338624,0.9971690492600251,0.5014748409485251,0.5299171062547099,0.5138993710691824,0.6248412056819495,0.5828339041095891,0.7172131147540983,0.8463789682539683,0.6922188317349607,0.5728185721563205,0.5318350766169704,0.8430042918454936,0.5740252897787144,0.6958940507327604,0.8017941895584639,0.7864535981537171,0.7206273165955661,0.9339407304240174,0.6653024101864484,0.8220880681818181,0.5494669509594883,0.5490704106999055,0.5242707331593168,0.5006722669761776,0.5225113438682286,0.6174532710280374,0.7499862508936919,0.6036949685534592,0.8122702205882353,0.9529533220263993,0.6123249299719888,0.8956451936584386,0.6588350785340313,0.8214959568733153,0.6215659340659341,0.9957155098543273,0.7754065040650406,0.6725992317541614,0.6582602339181286,0.6158620689655172,0.9493055555555555,0.8373015873015872,0.5214285714285714,0.5187493284624476,0.593648530925794,0.7632653061224489,0.8163265306122449,0.6081163194444444,0.8182648401826484,0.7770432692307692,0.7994594594594595,0.9259259259259259,0.792165071770335,0.8394886363636364,0.9822443181818181,0.8024691358024691,0.7676470588235293,0.747453310696095,0.8203125,0.8700396825396826,0.8878968253968254,0.8466509988249118,0.5322299651567944,0.877639751552795,0.6129503407984421,0.5295795795795796,0.690527950310559,0.873473282442748,0.5939887926642893,0.7934966216216216,0.8163527397260274,0.7844827586206897,0.8415798611111112,0.596568898727172,0.6300102774922919,0.81875,0.565136476426799,0.7173076923076923,0.64,1.0,0.9696969696969697,0.6166365280289332,0.6578947368421053,0.6428571428571429,0.7295831904963855
OCKRA,0.8418668954996186,0.7664611401079434,0.9520503322599259,0.9036902701068887,0.7086280487804878,0.8578373015873015,0.7561454604741472,0.5150303643724696,0.5637322737548811,0.6337735849056605,0.5897717211379296,0.7706763698630137,0.6176814988290398,0.7727678571428571,0.6002615518744551,0.5357615894039736,0.5427438409351554,0.9018025751072961,0.9207718651211801,0.5196994229252294,0.760570976556882,0.6605007343170851,0.6415833275054199,0.6572075208913649,0.5866871305138699,0.8764204545454546,0.6232409381663113,0.5475531902477737,0.6160301323441865,0.5192888909318654,0.5407710180893641,0.6804439252336449,0.7970631908925919,0.5216981132075471,0.7366727941176471,0.9698842268269302,0.6644257703081233,0.9235400361228175,0.5984293193717277,0.7523584905660378,0.6048076923076923,0.6304627249357326,0.8136856368563685,0.854673495518566,0.58296783625731,0.5246684350132627,0.7780092592592592,0.8534226190476191,0.506547619047619,0.5527022671107769,0.5668012988041499,0.8230700976042591,0.5,0.5,0.8027397260273972,0.8149038461538461,0.8510810810810812,0.9902998236331569,0.861543062200957,0.8536931818181819,0.9829545454545454,0.7679738562091503,0.6981617647058824,0.7542444821731749,0.758984375,0.5,0.5,0.7911280846063455,0.730836236933798,0.8894409937888199,0.6489776046738072,0.5501501501501501,0.7012422360248447,0.8986641221374045,0.5950076413652573,0.8399493243243243,0.5,0.8051724137931034,0.5,0.5771997786386276,0.8478931140801644,0.840625,0.544044665012407,0.8211538461538461,0.5,0.5241228070175439,0.9696969696969697,0.8517179023508137,0.7532894736842105,0.8008658008658008,0.7072789004051592
SoGaal,0.6527221586575134,0.5693105692853488,0.5092139307186867,0.5269694721512379,0.6425914634146341,0.7723214285714286,0.6379347399156644,0.5731492192018508,0.6174350894019319,0.5705345911949686,0.6444547099357123,0.5670376712328768,0.5821829163071612,0.737921626984127,0.6445292066259807,0.832530383523761,0.5152663976897461,0.5006652360515021,0.6215753424657535,0.7069788682691909,0.5619696533870272,0.5063990488845374,0.5466815861249039,0.5804317548746518,0.6063551614370168,0.5193536931818181,0.5443496801705757,0.5176639473407794,0.5179053899345148,0.5759316930785231,0.5514823059985645,0.686927570093458,0.572567783094099,0.5037735849056604,0.5140165441176471,0.9709460954206917,0.6294117647058823,0.5193658438691552,0.5296465968586387,0.6380053908355794,0.5358516483516483,1.0,0.5081300813008129,0.7733674775928296,0.6069688109161794,0.8855437665782494,0.6328703703703704,0.8960813492063492,0.7200892857142858,0.5097238637584613,0.7150550407856181,0.6168589174800355,0.639795918367347,0.6210720486111112,0.6228310502283105,0.6802884615384616,0.5327027027027027,0.791005291005291,0.6860047846889952,0.8959517045454546,0.5944602272727273,0.6848220769789397,0.7338235294117648,0.8464912280701754,0.66328125,0.6128472222222222,0.5443948412698413,0.9118683901292597,0.7752613240418118,0.5465838509316769,0.5778967867575463,0.5346846846846847,0.6852484472049689,0.7528625954198473,0.6026490066225165,0.7816722972972974,0.6168664383561644,0.5732758620689655,0.6028645833333333,0.5960154952960708,0.68448098663926,0.84765625,0.5614143920595533,0.5365384615384615,0.8937499999999999,0.7039473684210527,0.8821548821548821,0.7667269439421338,0.6875,0.6147186147186147,0.6478384524499898
MoGaal,0.7730263157894737,0.5257728863470956,0.5999944157995645,0.594647322287253,0.6054115853658537,0.5876322751322751,0.7493571073908565,0.6951272411798728,0.653709666369802,0.5525786163522013,0.5832948377410787,0.6482448630136987,0.597698138789597,0.5192956349206349,0.6091543156059285,0.7278545957353905,0.5355778398021361,0.5132188841201717,0.5817966280295047,0.735085315730477,0.5935747159499497,0.5468214560458773,0.5592523952723967,0.6942800216651192,0.5940768531150524,0.5856711647727273,0.5448827292110874,0.5192336869624079,0.5477171772679398,0.5671749847734403,0.5168667810177245,0.73991238317757,0.5300005499642524,0.5439465408805032,0.6592371323529411,0.9755032814689183,0.67703081232493,0.7218543046357616,0.5083115183246073,0.5073450134770889,0.5807005494505495,0.9997857754927163,0.5272696476964769,0.9083226632522408,0.5415448343079923,0.8717506631299734,0.5476851851851852,0.5979662698412699,0.8380952380952381,0.7795207908026217,0.7289142314088857,0.5503105590062112,0.563265306122449,0.6201822916666667,0.5269406392694065,0.6730769230769231,0.6275675675675676,0.7522045855379189,0.6393540669856459,0.5948153409090908,0.9183238636363636,0.6891793754538853,0.7933823529411764,0.9344934917940012,0.81796875,0.8077876984126984,0.511656746031746,0.6915393654524089,0.6385017421602788,0.5788819875776398,0.5584225900681596,0.5503003003003004,0.6332298136645962,0.7509541984732824,0.5995924605196128,0.6575168918918919,0.5744863013698631,0.7853448275862069,0.6540798611111112,0.6723851687880465,0.7944501541623844,0.91640625,0.6029776674937966,0.5403846153846154,0.98875,0.5592105263157895,0.6296296296296297,0.5605786618444846,0.7960526315789473,0.606060606060606,0.653366373851908
