model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
AvgKNN,0.17677861779915718,0.09759949049277747,0.09136986283259829,0.34300555450283127,0.10709024405497765,0.12720648394574585,0.1387545415894581,0.04631373045329153,0.07211272940040407,0.031171936702309028,0.09355331413332148,0.278252531446074,0.025609704734166176,0.06470191706999052,0.05945793309259095,0.11663655614288952,0.3343196593114619,0.33407264063686304,0.025987852630934533,0.045648837049309506,0.10363024762916186,0.1460632045362508,0.19042342486138858,0.08660116732491689,0.055275607026750946,0.5799622408472612,0.03707447687144283,0.26391586700371183,0.2591424908728517,0.2827105927041233,0.24572552446018794,0.519560676820528,0.25308629003446304,0.04466963233957036,0.05935358769235994,0.9474516760020208,0.05556333250817596,0.42716588966588964,0.14070756095658377,0.23636857943978587,0.14308629303653358,0.027397530724124,0.23520870650393397,0.3180348379665083,0.09059023818375167,0.13291703363346052,0.11360124909388084,0.14053155459957087,0.11346567799819954,0.16415145726645894,0.3185844800689745,0.2342467192804909,0.25817057402562127,0.42832625594416546,0.12139311755677142,0.18098807611540094,0.2994864787153237,0.5069444444444444,0.28556284090312645,0.22597670008298115,0.5550459956709957,0.4199209461786121,0.2581503007696543,0.5145794853567458,0.28712292963317043,0.40902482774037796,0.407098945507669,0.26773589443177737,0.07622826908541194,0.3184821428571428,0.0710294618654563,0.35709188892070376,0.230303187827185,0.6431035198900651,0.08171102449409225,0.23142611880227673,0.35945355121446515,0.27041328190324193,0.3119456811288082,0.08869097407113921,0.17507686768514152,0.37752419449593233,0.11283677469666675,0.04287327256077256,0.26926148120211585,1.0,0.33730158730158727,0.2857120085525401,0.360551948051948,0.35638409209837774,0.23732045697507087
LaKNN,0.17511134137592355,0.0918927684716856,0.07322389569808468,0.36567720542402166,0.1608899401512606,0.11194278586912552,0.15363897767701784,0.04641425751648129,0.05663663501764381,0.03352889398084698,0.0827159599321079,0.26179994811863805,0.028918139203456775,0.06958833958867344,0.05498247723232827,0.11108254538159981,0.32435821860508873,0.3450322089127485,0.02324319627695635,0.03775145626570471,0.10466459324912142,0.184265166801035,0.18853155824702428,0.09288716434744751,0.06393642931909324,0.4713010203758875,0.029045974362342006,0.2707507833350584,0.2715085206622535,0.2881987945491088,0.24879413042772786,0.5271829680095406,0.24309867697162832,0.04545289903001925,0.05365786414790492,0.9418409080547727,0.04382808476525506,0.4555063948758964,0.1578765862372146,0.22696659759463747,0.15178513466475402,0.0763382967848106,0.30084972002425947,0.3401449006058512,0.09134776440359457,0.12410666049490668,0.11058636784845746,0.13470407206487747,0.11420024662251134,0.16218304332171565,0.3222242826166303,0.22502663946606655,0.2704438830805589,0.43001169335747347,0.20252803335250147,0.18939123944279987,0.2888414989438717,0.8787878787878787,0.2918639496141414,0.2307629995465494,0.5516369047619047,0.466046237904833,0.2576368044192416,0.5082287730571492,0.29069374992125996,0.45623773608366097,0.4584673973556229,0.26031294481756806,0.07456372244108092,0.4876499660928132,0.06831203347796114,0.3514888924327935,0.23008354606503048,0.6512926031109242,0.08115883958635217,0.20921731435341084,0.359386927281254,0.2899618570585117,0.2764426425024251,0.08629965597790462,0.17545496831211116,0.28639950898103067,0.11347336551599015,0.05017642832995267,0.2684554626715041,1.0,0.43333333333333335,0.30281698977351146,0.3075757575757576,0.2921854930783502,0.24554269408199794
MedKNN,0.17313618942864073,0.1020545266588175,0.08334072068631072,0.33159812545321277,0.09993875615728431,0.12953119753522532,0.13512650811686708,0.04514679411741919,0.08372192569830648,0.029732083254172297,0.09085098838443467,0.23311218958785554,0.024866926287971554,0.063673390712118,0.06097976365996582,0.11832908591504776,0.3348071883847297,0.30825738242312994,0.024876333268363752,0.0506358934171908,0.09507901121687003,0.13771911994743352,0.18552537272125486,0.08445009787453278,0.05182178121118221,0.5952006028683724,0.036851644489018426,0.2610379657691059,0.2505583585197816,0.2786091594994508,0.2435971432597746,0.513942008690176,0.2583107484087562,0.04409260638146058,0.05491892383292555,0.9381970240097877,0.05713867638529289,0.39184254372424604,0.1306139552111812,0.2299844221371331,0.1415440365555589,0.019434496820833164,0.22288661708841867,0.30721731431570065,0.08826279362167777,0.11957070139419643,0.11878239753709942,0.14793071368486674,0.11598527095577221,0.1658880406683023,0.32442935212109425,0.24450793737191673,0.2593335394462373,0.42106664207271016,0.09806295470719356,0.18733365527240486,0.3107913744605678,0.433033033033033,0.2863036538953317,0.2475526271498339,0.55,0.3958878921011073,0.2680172551676918,0.5222994211720337,0.30496642920551037,0.36466784612232633,0.36831219947472915,0.27592009409318624,0.08931450517453249,0.19283384636086864,0.07704954619311973,0.36344669158228765,0.23801234698765222,0.5772515285814569,0.08413885158113618,0.247741919426063,0.3220274044348316,0.23263555203962183,0.3099951648305229,0.09143330260344823,0.16878615207877543,0.3846188671340832,0.11519041481874816,0.04369432097823391,0.2713483391164924,1.0,0.26515151515151514,0.2814446595502496,0.3438852813852814,0.35621495209595894,0.23032678429910006
PCA,0.09786882338385557,0.09190949759994231,0.9989506103641822,1.0000000000000002,0.05028605733962135,0.04785599486776198,0.9365816569390628,0.06854727650827483,0.04025519229236918,0.015504820541037818,0.06809665865407,0.049289220455680904,0.05011736417869993,0.12381414089177556,0.06875401726697243,0.11404343672052225,0.2737991117559807,0.2461694001161467,0.012620266466308419,0.028138176908317977,0.16745030025840502,0.30667864062349565,0.3218396085639873,0.556744252813399,0.0618034212107435,0.3728114111621954,0.032361112655303975,0.2884029962443706,0.2725375883620365,0.28934929504917367,0.23728182954144164,0.4700873607341217,0.11625812384103351,0.05629429479363443,0.04620577132432524,0.9577312839790648,0.04960225722348215,0.41437737439592215,0.1579338708238155,0.2882522824153087,0.18015068877089696,1.0,0.2988838696713976,0.2990129186407545,0.1248534358476828,0.3059922703865606,0.6180164541651229,0.23844792928238945,0.1686083612019001,0.1471108010991491,0.24212416320316033,0.4179972352559583,0.437001747133207,0.3170104592785429,0.30446688446688447,0.23164273674973412,0.28443795297519175,0.18571001367054,0.408909063550738,0.42653268188405463,0.44086892957030255,0.39604659494937766,0.31563625877863555,0.46678413429362814,0.36555522604257756,0.4604822693554905,0.49881760882782195,0.41782197014836303,0.04935599879598963,0.38258385276032336,0.06235222007961017,0.3286721332662491,0.247151212857073,0.6465401101937871,0.06753091219982246,0.2266686489325691,0.29794706131031445,0.3580046842808292,0.3014130822050427,0.07190443669002941,0.09755265827578874,0.5538658677615392,0.09972834923633578,0.06454545454545454,0.6757854725104194,1.0,0.38333333333333336,0.2733658687606056,0.10557359307359308,0.2058439658505491,0.29272495972650187
COF,0.060244944714615015,0.11772863496106349,0.04453345736646795,0.0792263939906882,0.04309992073822715,0.06986374088004929,0.0932384659271057,0.03574607577259689,0.04324427998105945,0.028423479944741745,0.05238355251323322,0.2925535523609457,0.020863025008130476,0.03666267333831308,0.04764874654381312,0.12034124019779549,0.3254110931055392,0.13733019089101756,0.03570517488561884,0.050637984817440224,0.06560244748320183,0.09070817370738084,0.11245037538121136,0.13876828484238196,0.10292927042901542,0.3047987353095835,0.02808129932666682,0.2456610641205272,0.2846170229430561,0.26231714801397876,0.2349195686035513,0.4080641387869821,0.25191927000671077,0.04927390434750793,0.05037696022482961,0.3092981258452014,0.036848355700902946,0.18381913027267077,0.11907952425810948,0.1412196337527049,0.09804038348747404,0.1364100557110224,0.05261859751402826,0.06725449032570122,0.09291534253011194,0.16226343876705485,0.04351314636938543,0.04948487622903101,0.09792143844870116,0.13852200986611427,0.3180918977024729,0.12584122757800367,0.12739827008261495,0.3728593162777729,0.2545175455247206,0.06771433538575947,0.12822641627511172,0.6493902439024389,0.16028105748788493,0.09684889847649131,0.23954198579198582,0.2988358726731428,0.12791172806858592,0.6158615694063052,0.11243006773213511,0.3472112674657038,0.2914118382983296,0.2689261525568727,0.20855468406136043,0.2501496844504614,0.08837942004749921,0.36914583904214904,0.2571439623408212,0.5058322662617096,0.09983300980999843,0.10618047775268163,0.15566533527413587,0.15167326560477012,0.16315302511772237,0.1008162705385624,0.17119597287656335,0.06007908451843878,0.1090929795079599,0.04085549657838815,0.43348081220339924,1.0,0.3523809523809524,0.2887394351680066,0.2117063492063492,0.32239302981544293,0.17938148759763298
BRM,0.013965053374449142,0.23243146475786958,0.021942906700411616,0.008680544075719521,0.0072340239955486505,0.007779484805388672,0.06611720384931792,0.04919109140971348,0.04182653292799126,0.014967310156823573,0.02229811543023972,0.009843190726430381,0.02917041983507709,0.02109260672570915,0.025099286200212144,0.08726138938885034,0.2658561415506909,0.009404798387712632,0.007469055253769655,0.02786399480471114,0.026378204224550915,0.08292846699527998,0.07232892021874947,0.10681395974889057,0.02986240707951735,0.012331319570210362,0.021566432847854387,0.2174953588284448,0.49621446218040494,0.21403811348805882,0.2534820529906176,0.25811706601821427,0.033983314095468634,0.05003801205333615,0.009920321403539923,0.20292711813074898,0.020349351616391866,0.013661777130414464,0.07424994348301983,0.06096170948438581,0.07680109234561275,0.28767512997940115,0.02613179583403386,0.039802253222270795,0.06769186133002246,0.07847184635332027,0.047835989982592815,0.039078122834732276,0.10936818083364899,0.14096052120973912,0.18351081828359694,0.05682491853518799,0.04859802193661193,0.20117262598995175,0.015518519801664946,0.04986154559387259,0.059976947966700944,0.018860860834444142,0.060909671674535065,0.054674341399455165,0.024922819735230695,0.05998072423833687,0.0634014339680255,0.839721474908637,0.06009439151551948,0.09836020546362513,0.0971186055972304,0.09483274740968588,0.03147677413110739,0.035172549304165565,0.0907277696594872,0.39323067092651864,0.6234175887203115,0.14326509104078114,0.09869107611569691,0.0632141027956273,0.05999878698196585,0.06662701415052741,0.06191010330650886,0.09837436253975546,0.03255511894386439,0.04623427882737201,0.09442188466674892,0.03830618785975929,0.6468383354936762,0.02326896694044908,0.020345074455899198,0.051766316884806506,0.03544243587093304,0.06523065830440498,0.10055350602936437
OCSVM,0.015267898610116317,0.29978083093038793,0.017751040470756135,0.00629535991492125,0.10693712907702128,0.00828378428934353,0.03508862250321312,0.05191565420035839,0.040019250313252236,0.019960471489179666,0.024547697242978832,0.16951912793967416,0.015843138689055958,0.017173541451467815,0.0227273277432977,0.08845864884767451,0.31261725330317225,0.009851252152036728,0.22179470600879472,0.01235682749583005,0.02374970529398649,0.05973445047228047,0.06468089695875777,0.049281710455693975,0.0235296084380816,0.013281595638109578,0.022046585852934744,0.219755820727227,0.26070080510013804,0.2665235001143811,0.2608776932682373,0.29911742024921834,0.03575354241446708,0.03517990842990666,0.009471512932032711,0.21398763580786107,0.023636616868203494,0.013690165335186815,0.06911665549253634,0.0578593942033037,0.0770034539337403,0.016409704938689002,0.040457533640195206,0.07215542898706566,0.04861876237239591,0.08574083151213116,0.030818122433402827,0.03590597022977559,0.09788819772990756,0.17224001395630406,0.1892960953225015,0.05489755383033232,0.04554236920210458,0.24566592304501747,0.015573196565038559,0.0457578694757826,0.06045414493956728,0.018799663616531386,0.06116875704225957,0.05061571724479497,0.025041118379455857,0.0590698072691202,0.0622695645965279,0.8483381445780014,0.05596329507330123,0.09772275176161396,0.09621480531105107,0.08214822383938233,0.06364266962009914,0.03584751537750394,0.10237778197278774,0.3581337807389265,0.5073602184447439,0.14021858931588294,0.1093093095296548,0.06221945346021825,0.061726028493689564,0.06370618692646968,0.06068150292968346,0.13359797859047898,0.04377621217744439,0.04629796449816836,0.19989260577865092,0.024819979577268905,0.25931588199546457,0.021369090552507318,0.02034015730628396,0.08596026986216014,0.05128158663042384,0.11617573835362,0.09864435899647998
OCKRA,0.013841562283768,0.322340104692425,0.018016510226878335,0.006612458771692272,0.00813455136553618,0.007479120292059636,0.041799838356794794,0.039623562161781006,0.03935310400645455,0.015435129166537147,0.026230130735516978,0.01059063338792474,0.018109443675334444,0.01812971000463756,0.039237501335278174,0.09371347745636917,0.2664921383705501,0.009328145949776824,0.006208587070694439,0.021442024377620716,0.024598509609820553,0.06946154958282212,0.07626354132373515,0.06556775280110624,0.104991730082411,0.012659338872358556,0.01815714103602248,0.21519352937809366,0.513885503383851,0.23213772749757422,0.21056715726993253,0.25661678120124143,0.03408777636481418,0.0468849660524521,0.010353889711582898,0.20385640197203833,0.023548339539868825,0.01348893887871527,0.07667307017624994,0.062308629362722745,0.08211039695518607,0.024098861450706978,0.02604972736921319,0.03374564169730775,0.08056502285467709,0.0791221394074356,0.03605062369865526,0.03587332145556919,0.10092920949275172,0.12997220120546168,0.20954198067734942,0.05652602677843854,0.5,0.5,0.01590663178898473,0.04469442323729639,0.05815300046411407,0.018197004475628255,0.05743240510592219,0.050133432665112374,0.024998958701399954,0.06156153913355698,0.06827684235818499,0.867701315434698,0.06022951086248261,0.5,0.5,0.08621077069660715,0.030697548079150472,0.03534022565782078,0.13021331013711468,0.4045012295511153,0.5598295005473843,0.1387540354752348,0.165005472646455,0.06097361287469549,0.5,0.06386134538310913,0.5,0.11729095079723681,0.031968564209858226,0.04576518726407733,0.12531088660879333,0.022387825297308053,0.5,0.04286582960373277,0.02034015730628396,0.053676499320036625,0.040050789727513865,0.0664619633274032,0.12507551032851236
SoGaal,0.01748803812805041,0.15228483886030938,0.03710089678108695,0.020774896062877954,0.009468196908859316,0.00814108193814548,0.07112779286771462,0.03335942542379769,0.03267541001511921,0.016130681178229852,0.05589540790206425,0.07470482400830251,0.020417408917362906,0.10860434857335005,0.0631591328039389,0.31923914941367315,0.28974699340080307,0.08949693554220749,0.13397551986586448,0.03456981451983546,0.035717111082929,0.09614477693164414,0.0901250601307829,0.1110095730799309,0.0804817797807551,0.09485828162308729,0.042967649736253354,0.270122553913349,0.24183760861516332,0.22488923539410988,0.34124417808754537,0.2631192588948321,0.09711687087956763,0.0537010266515827,0.017086708506552552,0.20339485635948146,0.12227223676797039,0.024772025679637932,0.14267555905476295,0.15137450966885418,0.11881912485328924,1.0,0.05793792066997347,0.036494978240042816,0.10485060661423956,0.3213407495361667,0.04492403851584794,0.034416394896935126,0.07174117768524346,0.1494192518912313,0.17070591608351626,0.18474629904780987,0.13280551721650538,0.21707667711698067,0.29529792895985185,0.06081233800487915,0.11156172528132453,0.022990437052743205,0.12963746160176037,0.04787346050733464,0.09777892836377208,0.12989413802212987,0.07099573910287929,0.8874865876091677,0.07670526946053247,0.36739010860140103,0.19429678270285708,0.08044824148254134,0.02905798716525352,0.1187269246962899,0.0962093178631426,0.33886338750182243,0.2403134352710049,0.19154993271638523,0.06569674664015948,0.06240876116783801,0.14316358053176215,0.19028729181638004,0.109054243924531,0.12230063417877557,0.25374788603710074,0.0442808115000872,0.12394524066845897,0.032044470389899736,0.6580296829667543,0.5285539215686275,0.02154278114378602,0.05762395757268717,0.09475429975429975,0.21735534873289974,0.14723588996532547
MoGaal,0.014813931568996339,0.1235268725635967,0.039185819390447116,0.08863568006667281,0.016136033592071074,0.010806678116987736,0.05206072147605107,0.025011987457194497,0.028865603831507547,0.01656896304059303,0.050322698569759745,0.01548178015409869,0.019803086435295214,0.026564264225227258,0.05277511610278326,0.19089772320681309,0.2728515842045024,0.08664655096630042,0.22748654550365616,0.03413950621131019,0.08629012777301358,0.08762047933125058,0.08412569285279128,0.26959255948821814,0.09507870837615565,0.03280105109826066,0.02911129161418601,0.2717298650007409,0.25860958386111094,0.23833301414032468,0.2974854476816495,0.24885548669717816,0.05090625819631063,0.044212727141724265,0.026070477741484053,0.2034860556111288,0.10433081819378415,0.016656835369908432,0.09502947420637539,0.10207330943973465,0.09710477368479933,0.9935897435897437,0.05763369094824116,0.03261362295463122,0.08464698720746108,0.3435681044423729,0.07291154028165031,0.049488090207961404,0.06316847290795076,0.0970685453375235,0.16924275052342141,0.29507124670161794,0.2988905306707911,0.21439978623128897,0.02898675950354504,0.05563422970487599,0.15081355016781073,0.03972887578665636,0.11436323930067308,0.07796229672141872,0.025650125839810543,0.13004345332787104,0.07781565529145193,0.9519866281718129,0.11597270626174092,0.10096190186214501,0.21219406977538907,0.23622192676353673,0.04089395810212196,0.14258174402250834,0.06937810040153108,0.38624214631687787,0.39374933635393305,0.6313576778826875,0.10114394006497864,0.07981993631842685,0.12112081588010803,0.06398218649000914,0.10570026523174589,0.2249500553773343,0.48578031403991306,0.042474724340023404,0.09351079608187077,0.04812567561630186,0.9825262288063494,0.15702688273349663,0.10086342229199372,0.1666067435638422,0.1415719696969697,0.16579786964628118,0.15519909448807437
